平台,点赞数,评论数,博主名字,视频封面,视频链接,发布时间,视频标题/说明,播放量,分享数,时长秒,采集说明,来源URL
Instagram Reels,23617,230,jasmin.arndtt,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/611314834_25844188411868743_2900275743537360316_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=MzgwMzI3MDYzMDEyOTkxODI4Mw\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=44ZHcI90JsgQ7kNvwHCHgJd&_nc_oc=Adpu-YnUfyT-XwJkA-xe7SnSenG5yBgsp6HbTfBKDDzMTTMxusmZD4_J8XG3HWHoO34&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=swRfJVjuf2LB3S_R4z4KnA&_nc_ss=7260f&oh=00_Af9dNsuSb9QLQLV0jcaYvzbPZJMAyjZcC8va9_K1LILQKQ&oe=6A46B216,https://www.instagram.com/reel/DTH7nzNkeFL/,,2026 ENERGY! \ud83e\udd2d\n\n#dance #trend #viral,776538,,14,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,16297,624,hyperskidsafrica,https:\/\/scontent-lax7-1.cdninstagram.com\/v\/t51.71878-15\/670559659_1844587416227276_7083663658528592968_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=101&ig_cache_key=Mzg3NDUyOTQzNzg1MzQ4Mjg3Ng\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5oZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=GMn4KiqEagMQ7kNvwELqTOr&_nc_oc=AdqAoPpKt-1pz-pH8iBSxJuVZThe5N0PcyD_zRY5UKBZFuwIQ3j_DgHb1VBlAGv-sWk&_nc_zt=23&se=-1&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_gid=PQwFBconZ3_KkJgHtwo6Cw&_nc_ss=7260f&oh=00_Af__lKC9P0dT4tpIa8EyrJzPOfNDHaNyjRIdCystHad1-w&oe=6A46AA11,https://www.instagram.com/reel/DXFF_7fDP98/,,Let\u2019s have fun \ud83e\udd29 with \u0040lilbieber performance 2026\u2026.\n\n#instagram #reels #explorepage #dance #share,124128,,94,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,20248,99,skullygodd,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.82787-15\/698347652_18360876439230924_8277875635135432814_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg5NzMyNjUxMjY0OTg5NDI1NTE4MzYwODc2NDMzMjMwOTI0.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEyMTcuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ\\u00253D\\u00253D&_nc_ohc=KaW2FgxQ--UQ7kNvwFjw-cq&_nc_oc=AdraZaDWE8_Kz4qmm6dkW6rihqrHLffmmf_0CAWJ9bklUF1e09Y6Z1OfP7fxiftIabA&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=QbIT-sfJoh38kl01_WMLUQ&_nc_ss=7260f&oh=00_Af-yWIn39WSoyG-rPO1juhvIUUMSM_3LoUfO5HUzcKDhyw&oe=6A46D682,https://www.instagram.com/reel/DYWFdB4NXlv/,,Part 2: Doing 2010 dances in 2026 \ud83d\ude43,82477,,40,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
YouTube Shorts,7786,78,Brat TV,https://i.ytimg.com/vi/6FjV5aSP99o/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4AbYIgAKAD4oCDAgAEAEYRiAhKH8wDw==&rs=AOn4CLCSxF_d3c75uKJlsitNLnbBcUUzkg,https://www.youtube.com/shorts/6FjV5aSP99o,2026-05-01,"Walk In, Walk Out 💥 VIRAL 2026 DANCE w/ Gia, Kaido, Clements #Shorts #Viral #Trending #fypシ #Dance",444513,,15,YouTube search: Known Shorts sample: Walk In Walk Out,https://www.youtube.com/shorts/6FjV5aSP99o
Instagram Reels,5045,198,yerekesheva_akmaral,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.71878-15\/640010867_778660958653651_5035429739823752054_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg0NDU1MDkyNDM4Nzc3Mjk5MA\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=o3P5HSHPVboQ7kNvwHEFlXk&_nc_oc=Ado27GiWH4bWhuk4hQ53nWzP8AwSBqUpV0mQogTgZGCFgTWNEsLwkoYhxiO5Q6wlKaw&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=BypiLd3s041GhOxxvrp4LQ&_nc_ss=7260f&oh=00_Af-5vt0FnN12IaYjh4PwiekhusLKgKnIt0DeCO27uYn4aA&oe=6A46D53B,https://www.instagram.com/reel/DValrJJCGo-/,,Dance mood \ud83e\udea9 | 2026\n\n#trend #dance #reels #fyp #repost,38535,,20,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,5837,47,esenya_miss,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.71878-15\/609174757_898479936075840_1179951383861125313_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=MzgwMDY5MjQwOTQxMTYzODAzMw\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=Vh_r0JWCK0UQ7kNvwGhQDdm&_nc_oc=AdrW9thtvRNq2EHCpxJCgDw_hXk2DaY1XITHjodgofOzjo-A3h44ZxMwX482Z55L2Sw&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=iud-SzqwEqNjcBbV4cuK9Q&_nc_ss=7260f&oh=00_Af81xkGOKNWWoG55X-xOAqyuDuQAFcLvKUErrN3SKO7ycw&oe=6A46A574,https://www.instagram.com/reel/DS-xZwDgRMR/,,Good 2026 morning! \nLet\u2019s make first day of 2026 strong ! \nThanks for this amazing video \u0040david.sharkcookie \n#fyp\u30b7 #viral #dance #trending #reels #viralvideos #shorts #viralvideos #fblifestyle #instagram \u0040instagram \u0040youtube \u0040facebook \u0040tiktok #reels,104156,,8,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,4977,73,official_lhorray,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/611632263_1313435147216922_448056473052545476_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=MzgwNDI5ODc2Nzc5NzcxNjM5MQ\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=J8tAGAzFFGQQ7kNvwEuEe_C&_nc_oc=Adoce0S8J_2Q_rLO2rh_MQbPrgkDmXzh6P6bnokPbEu3l_uDp1z28leD13zLVb7KZ_c&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=zgR-ESxf0pyXbnmisb9PAw&_nc_ss=7260f&oh=00_Af_SX1mfHN36dtApEEjnP8kyqep9WCB9JnES4l1_ZwEB3A&oe=6A46A583,https://www.instagram.com/reel/DTLlZLCCgWn/,,New dance challenge 2026\u270c\ufe0f. Can\u2019t wait to see your videos coming through w\/ \u0040Calvinperbitiktok \u0040mr.ouuaa Dc: myself \ud83e\udd29 #2026 #trend #amapiano #content #challenge,34884,,45,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
YouTube Shorts,4961,55,Brat TV,https://i.ytimg.com/vi/gqMUa4fiLRA/maxresdefault.jpg,https://www.youtube.com/shorts/gqMUa4fiLRA,2026-05-27,Poor Kaido 🤣 GOIN’ UP DANCE 2026 #Shorts #Trending #Viral #Dance #fypシ Gia Clements Twins & more,482127,,11,YouTube search: Known Shorts sample: GOIN' UP Dance,https://www.youtube.com/shorts/gqMUa4fiLRA
Instagram Reels,4853,32,tianneking,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/609177199_1440663041399901_122188438868758019_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzgwMDg4MzkyNTM0Mjg2NjA3NA\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=Xfgg3ktaSvMQ7kNvwG2fTmb&_nc_oc=AdrbW-2OnKGQ4GpOq8_rr1awMSTwUzQtdxnw4bX9eOIOBkNhgPZOLXqefFJm5aGENPQ&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=umaXfY7yoSew7ismNf96Ig&_nc_ss=7260f&oh=00_Af9SqXxa4P1D4hSw_6Qf8eOUXuyx5Rf3J6Fro7IAP2ljWw&oe=6A46AEDA,https://www.instagram.com/reel/DS_c8rKjcqa/,,Hi 2026 \u2728\ud83e\udd2d #dance,39664,,12,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,3146,105,itstriplecharm,https:\/\/scontent-lax7-1.cdninstagram.com\/v\/t51.71878-15\/619821390_881590734457067_4825940580956685309_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=MzgxNDMyNzE5MzExMjI2MDg0NQ\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=p7Esac5W4pEQ7kNvwF7UxwK&_nc_oc=AdpxXgSISRuW1cuA0NX3H-tJIjvNUK9x_fZJRF5I1RwD_Ru6loZt4zjn8o2SVxRDlYM&_nc_zt=23&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_gid=dDBFu2LSWXhY8rahC4mGXA&_nc_ss=7260f&oh=00_Af89HWfDRvlbL8lDZmbfovnxMzSVKbFRrAAT7H6uRglW8w&oe=6A46A9FE,https://www.instagram.com/reel/DTvNl96kbDt/,,Word on the street 2026 is the new 2016 \ud83e\udd2a\ud83d\udd25\ud83d\ude06 #reels #dance #viral #2016 #explorepage,60658,,16,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,2934,112,kyladcarter,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.82787-15\/610933318_18548026315038819_5388571718777547084_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=110&ig_cache_key=MzgwMzU5NTI0NDYyMjE4NDY4MDE4NTQ4MDI2MzEyMDM4ODE5.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEyODQuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ\\u00253D\\u00253D&_nc_ohc=CpxMxEO37h0Q7kNvwFP_gLr&_nc_oc=AdqW6bOhiGtawY9OY_97O7n0Z_2-RmDrmvLU_U1j0aoVBj38nX-pKbU8wmpsAytDl2g&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=cpOyAknGYx9O1bRXiP1JNg&_nc_ss=7260f&oh=00_Af_e3nZer1MIbqjtr09ezNvX1JRaQxpNvL5oIhlo1iJI6Q&oe=6A46C8A6,https://www.instagram.com/reel/DTJFbkBEgDo/,,Dance Reel | 2025-2026 | Choreography \u0040martinezmovement \u0040tiffanie_carson \n\n#shenandoahconservatory #dancereel #bfa #musicaltheater #kylacarter,1419,,114,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,2745,54,uwdanceteam,https:\/\/scontent-lax7-1.cdninstagram.com\/v\/t51.82787-15\/619076082_18553705651000220_484761171218070490_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=105&ig_cache_key=MzgxMzEwNzk3NzU5MDc2OTI1OTE4NTUzNzA1NjQ4MDAwMjIw.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&_nc_aid=0&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=qbYKRrLfBYAQ7kNvwGOqUWg&_nc_oc=Ado6rvo4uk1nK2GYUXDMEue_pMq19GB1f_e2TAzFzJN3MypSJpiyiKETn1Srijh2zuw&_nc_zt=23&_nc_ht=scontent-lax7-1.cdninstagram.com&_nc_gid=7XL2J5WscWi2CzMiX0ZdyA&_nc_ss=7260f&oh=00_Af8WC8ANv_mPsN7IpKHlyYGVGw-HlA3R107_b05UT7kdTA&oe=6A46A895,https://www.instagram.com/reel/DTq4YC-gYZr/,,2026 D1A JAZZ\ud83d\udd25\n\nChoreography: \u0040emotion.choreo\nAssistant: \u0040emilymcfarland_ \nCoaches: \u0040josettejaucian \u0040tututay92 \nSong: Say You Love Me by Jessie Ware\nCostume: \u0040ladancedesigns,18254,,154,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,1128,4,unlxmited_official,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.82787-15\/719490978_18083442680544421_4706523297575832455_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=MzkxNTE3MjQ5MDk4MDQyNDI5MjE4MDgzNDQyNjc3NTQ0NDIx.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjcyMC5zZHIudmlkZW9fZGVmYXVsdF9jb3Zlcl9mcmFtZS5DMyJ9&_nc_ohc=hnGMsoF8wPwQ7kNvwEWJAQN&_nc_oc=AdpQvsa5R6s__acOlxb9GVa2YaVJYT9p-3ZDo_PJj-0ZCACja211TkJow20oMWfUZgs&_nc_zt=23&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=0A-LdRkuJeudINLMUNvXJw&_nc_ss=7260f&oh=00_Af-2dgF7XOGlzMviu5PWwlMDH1Idw6wObeyzaY72DCPMvQ&oe=6A46D136,https://www.instagram.com/reel/DZVfKMXRPpk/,,award for the best dance challenge 2026 goes to james\n-\n#redred #kpopdancecover #cortis #kpopinpublic #dancecrew \u0040cortis,6141,,16,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,626,21,marvin_uganda,https:\/\/scontent-lax3-1.cdninstagram.com\/v\/t51.71878-15\/612532134_1996400051279858_5461225756143982415_n.jpg?stp=dst-jpegr_e15_tt6&_nc_cat=108&ig_cache_key=MzgwNjMxMDA2MzExNjMxMTE5Ng\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5oZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=Rpo7oEalrYMQ7kNvwGNFFn3&_nc_oc=AdrMfMr4T9cd5shX9FpgQpo1SyIDzqZeyMGQAC9yc07q7cWLz7AMjqOf4eLe6PqE7qU&_nc_zt=23&se=-1&_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_gid=FriQjdvUoit3PR21nOSRGw&_nc_ss=7260f&oh=00_Af8V9nqJHNNTk0lSku2k7sghrgiclyjH-RtWlEmamyxCGw&oe=6A46A65A,https://www.instagram.com/reel/DTSutXxCtqc/,,How we are walking into 2026 \ud83d\udc83\ud83d\udd7a\ud83e\udd29\u2026. \n\n#instagram #reels #trendingreels #explorepage #dance,6765,,45,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
Instagram Reels,735,3,sushmita_godge,https:\/\/scontent-lax3-2.cdninstagram.com\/v\/t51.71878-15\/610609734_1535363104243804_2206456147643929063_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=106&ig_cache_key=MzgwMDk4ODAyNzcyNDA2NzUzOA\\u00253D\\u00253D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0\\u00253D&_nc_ohc=28haXSEBllEQ7kNvwFeDG8C&_nc_oc=Adqe_F8QXH3OUzgH7e6iV6JhFPAJF63UywwjOderdinZc9Zuj1Fx6D0E00TY0HQNBGk&_nc_zt=23&_nc_ht=scontent-lax3-2.cdninstagram.com&_nc_gid=mx5YKgZiBdDD5FObGNbwpQ&_nc_ss=7260f&oh=00_Af9vKeJLPp1KtEpwtFGxm4MvKlRo-HRaLSmTZd1LrWzU5g&oe=6A46C666,https://www.instagram.com/reel/DS_0nkEAXLS/,,first dance video of the 2026 \ud83e\udd70\ud83e\uddff\ud83e\udd40\n.\n#trending #viral #instalike #dancereel #trendingreels,11837,,29,Instagram trend-page embed metadata; publish date unavailable on public embed,manual Instagram dance search result
YouTube Shorts,458,27,tejudance,https://i.ytimg.com/vi/-ZzYGnSXzQA/maxresdefault.jpg,https://www.youtube.com/shorts/-ZzYGnSXzQA,2026-02-07,No Hands Dance Tutorial step by step explanation + mirrored| dc: rivernovin TikTok Dance Challenge,42903,,501,YouTube search: Known YouTube reference: No Hands tutorial,https://www.youtube.com/watch?v=-ZzYGnSXzQA
YouTube Shorts,14,0,Nyonya Oleng ,https://i.ytimg.com/vi/eLCfeyekCt0/sd2.jpg?sqp=-oaymwEoCIAFEOAD8quKqQMcGADwAQH4Ab4EgAKACIoCDAgAEAEYZSBdKFQwDw==&rs=AOn4CLA70XslIJHYNgVxcDZK8t1SUTw1bQ,https://www.youtube.com/shorts/eLCfeyekCt0,2026-06-23,🚨 Beautiful lie x Macarena Tiktok Dance June 2026 #tiktokmashup2026 #viraltiktoktrend #tiktokvideo,2566,,12,YouTube search: Known Shorts sample: Beautiful Lie x Macarena,https://www.youtube.com/shorts/eLCfeyekCt0
TikTok,3787835,6551,Mary,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/ogExnXREQFAfHQBtUpvgCi5mkBFxVfNDvD7Myg~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=9ba2cb8b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=raqFm4FNk2sBI4ruCdi5zYgu7sE%3D,https://www.tiktok.com/@mary.g0.round/video/7581524587050044694,2025-12-09,SOMEONE FIND HER TIKTOK 😭😭🙏‼️ #kpop #kpoprandomdancechallenge #kpoprandomplaydance #yeonjun #katseyedaniela,27344119,45717,29,TikTok search: kpop dance challenge; one-year window,https://www.tikwm.com/api/feed/search?keywords=kpop+dance+challenge&count=30
TikTok,2885910,6289,Moca_e_Sousa,https://p16-common-sign.tiktokcdn-eu.com/tos-useast2a-p-0037-euttp/owaL3GeIag3fSTwMpgDEjMAbi6gNLiIoGSW1Uf~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&item=7597477862643485984&ps=933b5bde&refresh_token=8f47fcf1&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=klca7e6JmEO89hRL%2Bdj0pwH1Hmg%3D,https://www.tiktok.com/@moca_e_sousa/video/7597477862643485984,2026-01-21,Para quem disse que não sabemos mais nenhuma ent pega essa!!!😜#passinhodojamal🇧🇷 #passinhdojamal #fyp,47594796,186110,11,TikTok search: passinho do jamal dance; one-year window,https://www.tikwm.com/api/feed/search?keywords=passinho+do+jamal+dance&count=30
TikTok,2310813,6094,🧸,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/o0jUAy9IP0VExIRiFlwoEYB5AEiBcyCvGaJ0h~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=23a71c11&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=QyKodXToYUPlhm7ipwAi3hSewRc%3D,https://www.tiktok.com/@luvzxgn/video/7652257056157617415,2026-06-17,#brazil🇧🇷 #braziliandance #classmates #dancetrend,13019438,123586,15,TikTok search: brazil dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=brazil+dance+trend&count=30
TikTok,2123784,6167,offmaskcrew,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQDCjwGg9HIeGcBv0EfcI0dINw9LQIRfLQAAhD~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c6d4b863&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Vj%2BAd%2FSDQ6RV7ZnViGoKi5h16LI%3D,https://www.tiktok.com/@offmaskcrew/video/7564430027706813699,2025-10-23,vai no pal 🤯😛 | dancers: @bębęw @melanie.br @aliya | dc: ? #dance #dancechallenge #dancetrend #dancetrend2025 #trend,87830929,154153,15,TikTok search: tiktok dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=tiktok+dance+2025&count=30
TikTok,1791077,19434,Seth_Juma🤫,https://p16-common-sign.tiktokcdn-eu.com/tos-maliva-p-0068/ea4f7ec1e0ec44ea9bc1889e2e1d284f~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=35069ce1&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=rZQrDBfqKqG3REn9ZsglnWJhnzQ%3D,https://www.tiktok.com/@seth_juma/video/7587065941394050316,2025-12-23,onewith sianekesaiswaisting🥰🥰🥰☺️👌 . #creatorsearchinsights #sethjuma #sia_nekesa #newdancechallenge2025🎶🔥 #nwe_ternding,35394921,40320,12,TikTok search: dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+challenge+2025&count=30
TikTok,1854153,6969,𝐁𝐄𝐍𝐆Ü,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/oQaABIICEZBAiHlEAsBqVB9hEoLIAviYypOcA~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=d82f0b6b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=CIr3NsW66r1XW9B%2BVJ%2FXHRqdwmc%3D,https://www.tiktok.com/@bngylmz/video/7530348908287921410,2025-07-24,The duo you never knew you needed @𝐙𝐀𝐇𝐈𝐃𝐄 🩷 #berlin #fyp #fypシ゚ #fypage #viral #bengü #fürdich #pourtoii #kesfet #parati #pravocê #trending #viralll #goviral #viraltrend #viraldance #bengülunatix #lunatix #lunatixdancebase #zahide #acelerada #braziliandance #dancetrend2025 #dancetrend #viralvideo🔥 #goviralll #tiktokdance2025 #creatorsearchinsights,43705456,66960,15,TikTok search: viral dance 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2025&count=30
TikTok,1763553,4550,tonirex,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/fb8c9e5de3d74c94a1a59d95d913d604~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=10402&idc=no1a&ps=13740610&refresh_token=220fc79a&shcp=9b759fb9&shp=c1333099&t=4d5b0474&x-expires=1782662400&x-signature=k8XbaGiXZPFvG8i87SP0lR%2BHFCc%3D,https://www.tiktok.com/@tonirexxx/video/7616899530583280917,2026-03-14,#brasil🇧🇷 #brazilliandance #dancetrend2026 #viralvideo,59804544,133483,17,TikTok search: viral dance 2026; one-year window,https://www.tikwm.com/api/feed/search?keywords=viral+dance+2026&count=30
TikTok,1615295,3664,offmaskcrew,https://p16-common-sign.tiktokcdn-eu.com/tos-no1a-p-0037-no/o4iBKBAD08iGtIy5EXBKhr91agIvAYALCgiZ1~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=a0166a6d&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=Ecph4EhPhgG%2BI18%2FMTGbQxhcAmo%3D,https://www.tiktok.com/@offmaskcrew/video/7539167257319066902,2025-08-16,side to side | dancers: @steffi ;) @melanie.br @weni | #arianagrande #dance #dancechallenge #dancetrend #dancetrend2025,28566822,65180,15,TikTok search: dance challenge 2025; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+challenge+2025&count=30
TikTok,1267610,3118,erkim.nurko,https://p16-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oIEEUBemIAUNyUCE7Bkiy5gZTITRg4iupwBEDf~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=44d79e2b&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=v9p24U5PEVfiLKvfJIFzopjsQgo%3D,https://www.tiktok.com/@erkim.nurko/video/7633759961624907029,2026-04-28,Brazil dance tutorial #tutorial #follow #on #trend #brazil,56339566,110903,15,TikTok search: brazil dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=brazil+dance+trend&count=30
TikTok,1265366,2206,Koifish_,https://p19-common-sign.tiktokcdn-eu.com/tos-alisg-p-0037/oQa2PARCXIYjwBV7whiaZiICIEm0BFRAa05zu~tplv-tiktokx-origin.image?biz_tag=musically_video.video_cover&dr=1347&idc=no1a&ps=933b5bde&refresh_token=c4004e1c&s=SEARCH&sc=cover&shcp=c1333099&shp=d05b14bd&t=bacd0480&x-expires=1782727200&x-signature=sZqXKFyfAXu7s1BOF3HhIwTa6e4%3D,https://www.tiktok.com/@kiro_22_/video/7653473335615196437,2026-06-20,So cool❤️‍🔥 #dance #trend #arianagrande (dc:@bianca),7724228,59743,13,TikTok search: dance trend; one-year window,https://www.tikwm.com/api/feed/search?keywords=dance+trend&count=30
